verb,sentence,verb_idx,label,definition
examine,The discovery has led air - safety investigators to examine a possible link between the Continental craft and two aircraft accidents that involved fuselage cracking,9,1,to inquire into carefully : investigate
examined,Several aspects of the criminal - justice process have been examined,10,1,to inspect closely
rain,"But in the 1960s , when both superpowers were building up ballistic missiles that could rain warheads down from space , the U.S. decided against sinking money into what would be only a partial defense",15,1,to fall like rain
evaporate,But confidence in that forecast began to evaporate on March 4 when the Labor Department reported a much larger increase in employment last month than anyone had expected,7,1,to diminish quickly
rolling,"Wayne Prospect , a Long Island legislator who favored a public takeover , said , '' We had a choice of either accepting economic blackmail or rolling the dice on Shoreham . '",26,1,to cause to revolve by turning over and over on or as if on an axis
poured,"Lone Star Industries Inc. says its new cement , Pyrament , is so durable and fast - drying that an airplane can land on it four hours after it is poured , and so versatile it can be poured in almost any temperature",38,0,to cause to flow in a stream
flooding,"A synthetic version , prepared by means of recombinant DNA , is to be given in an intravenous infusion in the hope that flooding the body with false targets would mop up virus particles and prevent them from infecting cells of the body",23,1,to fill abundantly or excessively
destroyed,'' Any company in this market that hiccups is just destroyed,10,1,"annihilate , vanquish"
stepped,"The exception was Mr. Takeshita 's predecessor , Yasuhiro Nakasone , who stepped down in October after five years",12,1,to be on one's way : leave
withered,"But by 1985 the boom was over , and sales had withered to $ 100 million",11,1,"to lose vitality, force, or freshness"
kicked,Most of those dictums remain : Cut teams to eight men from 11 ; use a 50-yard - by-85-foot field ; retain hockey sideboards because they make for interesting collisions ; hoist nets behind the end zones to add spice to kickoff and field goal returns -LRB- a ball kicked off a net is in play -RRB-,49,0,to score by kicking a ball
fix,Mechanics have stripped one airworthy helicopter down to its skeleton for parts to fix three others,13,0,"repair , mend"
knocking,"Cale Yarborough 's car spun out of control on the first turn , '' knocking out nine other vehicles",14,0,"to drive, force, or make by or as if by so striking"
knock,"But , if lucky , a shooter with one blast can knock out the female and a half - dozen males tagging along",11,1,"to drive, force, or make by or as if by so striking"
pouring,"Spain is pouring 15 billion pesetas -LRB- $ 122.2 million -RRB- into major new equipment by Ceselsa , a Spanish maker",2,1,to supply or produce freely or copiously
die,"But the EPA and medical specialists have estimated that , even if schools eliminate asbestos quickly , 1 , 000 to 7 , 000 people already exposed to the substance in their school years would die from asbestos - related diseases over the next 30 years",35,0,to pass from physical life : expire
attacked,Mr. Bush attacked the Massachusetts governor for vetoing a bill to require school teachers to lead pupils in the pledge of allegiance and for Massachusetts ' prisoner - furlough program,2,1,to assail with unfriendly or bitter words
absorb,The clearance came as a notary approved Ferruzzi 's plan to absorb Iniziativa Me . T.A,11,1,to take in and make part of an existent whole
killing,"In the West Bank , troops fired on Arab youths , killing at least one",11,0,to deprive of life : cause the death of
examines,"The former president does n't see in Mr. Bush the '' independence '' or the '' drive '' to lead a country whose global leadership is increasingly questioned , a subject Mr. Nixon examines in his new book",33,1,to inspect closely
absorb,An early new accord would absorb the existing one,5,1,to take in and make part of an existent whole
stuck,"In early adulthood , she stuck with the Democratic Party , joining the protests for civil rights in the South",5,1,to hold fast or adhere resolutely : cling
fly,"Air Inter can fly to Ibiza , Spain , in the summer and Madrid in the winter twice a week under an Air France flight number",3,0,to operate or travel in an airplane or spacecraft
absorbed,"The pension agency , which had briefly absorbed LTV 's $ 2 billion pension shortfall , subsequently returned responsibility for the plans to the steelmaker",7,1,"assume , bear"
dance,"And for those of you planning ahead , this year the troupe will dance '' The Nutcracker '' Dec. 1 - 31 . -LRB- 212 -RRB- 870 - 5690",13,0,to perform or take part in as a dancer
attacking,Coke is even directly attacking coffee 's breakfast appeal with radio ads urging people to drink something cold to come '' alive in the morning . ',4,1,to assail with unfriendly or bitter words
riding,"The pumps can be reprogrammed by telephone to alter dosages , and he says that one of his young patients recently resumed riding a bicycle",22,0,to travel on
eat,"By 1993 , it will eat up 10.6 % of all federal spending even if no new benefits are added",5,1,"to destroy, consume, or waste by or as if by eating"
stumbled,"Peter Lynch , who runs Fidelity Investments ' mammoth Magellan Fund , said the recent performance of the big funds , which stumbled badly late last year , should shoot down the theory that they are '' over the hill . '",22,1,to trip in walking or running
planted,"But David Lett was a visionary , and in 1966 he planted pinot noir in the red hills near Dundee",11,0,to put or set in the ground for growth
withered,"Since spring , foreign sales had withered as the drought pushed U.S. grain prices even further above world rates",6,1,"to lose vitality, force, or freshness"
stick,"Astrophysicist Fang Lizhi , China 's most outspoken dissident , made a provocative appearance at Beijing University , calling for less Communist Party control and rejecting demands that he stick to science and not delve into social issues",29,1,to hold fast or adhere resolutely : cling
besieged,The park has been besieged for nearly three months by dry weather and fires that have charred more than half its 2.2 million acres,4,1,to cause worry or distress to : beset
absorbed,"During the past 18 months , the Houston - based unit of Texas Air Corp. absorbed several carriers , in the process inheriting a hodge - podge of different aircraft",15,1,to take in and make part of an existent whole
absorb,Switzerland is an example of a country that has pursued a domestic price rule and achieved price stability while allowing fluctuations in the exchange rate to absorb real shocks,26,1,"endure , sustain"
targets,"The main problem , though , is that 80 % of all retirement housing now on the market targets the wealthy -- yet that group makes up just 20 % of all elderly people , says Gordon M. Johnson , a Los Angeles retirement - housing specialist with Laventhol & Horwath , a Philadelphia - based accounting firm that studies real estate",18,1,to make a target of ; especially : to set as a goal
flooded,"Carole Pfeffer put an ad seeking them in a trade publication and was flooded with close to 1 , 000 pictures",13,1,to fill abundantly or excessively
strike,"At hearing this morning before a Delaware chancery court judge , Doskocil is expected to ask the court to strike down Wilson 's '' poison pill '' anti - takeover measures , saying an auction for the company has continued for a sufficient time to allow all bidders to emerge",19,1,to attempt to undermine or harm something as if by a blow
fix,Dealers said the volume of selling orders made it impossible to fix the closing prices,11,0,"to make firm, stable, or stationary"
flooded,The U.S. Patent and Trademark Office is flooded with them,7,1,to fill abundantly or excessively
escaping,"It 's little wonder , then , that Susan has taken to escaping into the company of her delightfully charming , exceedingly attractive , immensely rich fantasy family : an adoring husband , a devoted daughter and a frothy younger brother whose only occupation in life is to pour yet another round of champagne -- '' champers , '' as he prefers to call it -- for the four of them",12,1,to get free of : break away from
stepping,"Mr. Owen , who has been with the company since it was awarded to him and others in a court battle in 1976 , said he is stepping down because '' I ' ve got a number of other projects I want to work on , and I ' m getting married",27,1,to be on one's way : leave
pouring,"As we watch everybody eat -- Dan pouring rather a lot of salt on his chicken salad and from the looks of it , running out of banter -- a local pollster makes conversation with the press",7,0,to cause to flow in a stream
kicking,"'' I do n't want to give the impression that we are kicking Anheuser off the cliff , '' Miller 's Mr. Goldstein says",12,1,to remove from a position or status
planted,"Grand Met 's letter describes the spinoff plan as '' another time bomb , planted by Pillsbury 's management , to deter the acquisition of the company by Grand Met or any other party . '",14,1,to place firmly or forcibly
kicked,Most - Remarkable Injury -- Angels outfielder Chili Davis dislocated a toe when he kicked a chair after popping out in a June 26 home game against Milwaukee,14,0,to strike out with the foot or feet
filled,"Levi Strauss & Co. moved from a 13-page booklet '' filled with details and procedures '' to a half - page statement of principles , says a spokeswoman",10,1,to make full
kicking,"Republicans expect Mr. Bush to emulate the Reagan themes of patriotism and military strength -- or , as 41-year - old Charles Murdock puts it , to keep '' kicking the dog and waving the flag . '",29,1,to strike out with the foot or feet
drag,"Mr. Bluey 's job is difficult because accounting investigations , unlike insider - trading cases , can drag on and draw little fanfare",17,1,to proceed or continue laboriously or tediously
attack,His antics once provoked an elderly ruling - party legislator to attack him with a cane,11,0,to set upon or work against forcefully
targeting,"Vitro Corp . , a unit of Penn Central Corp . , won a $ 22.3 million Navy contract for shipboard missile targeting equipment",22,0,to direct or use toward a target
smooth,"And at Mellon Bank Corp . , a followership workshop helped smooth a major restructuring in the corporate banking department",11,1,to free from obstruction or difficulty
pours,It pours toilet paper in parts of Michigan,1,1,to supply or produce freely or copiously
plow,"The speculation centers on whether some farmers would plow under their wheat crop , some of which is nearing harvest , to make the switch in time to grow soybeans , said Richard Loewy , senior grain and oilseed analyst at Prudential - Bache Securities Inc . , New York",8,0,to undergo plowing
withering,But the OTC market was withering badly near the close and traders said if there was more time prices would have fallen further,5,1,"to lose vitality, force, or freshness"
stick,"While many collegiate groups stick to rah - rah alumni songs and occasionally stretch to a Broadway show tune , Wayne State 's repertoire ranges from Stravinsky 's '' Oedipus Rex '' to resonant arrangements of American Negro spirituals",4,1,to hold fast or adhere resolutely : cling
sleep,"This weapon could be extremely powerful , perhaps ideal for the European battlefield -- simply put attacking troops to sleep",19,1,to be in a state (as of quiescence or death) resembling sleep
kicks,He then kicks the pedestals out from under them,2,1,to strike out with the foot or feet
sleeping,"As a child , the 28-year - old Mr. Hellman spent three years sleeping in an underground bunker as rockets screamed overhead",13,0,to rest in a state of sleep
stuck,"One rival said he presumed that USX had made a strategic decision to reach certain profit levels and , in an effort to exert market leadership , stuck to it",27,1,to hold fast or adhere resolutely : cling
dissolve,"The remaining members have agreed to dissolve the facility , though they say they may form a new , smaller claims agency",6,1,to bring to an end : terminate
withered,Mr. Galvin 's interest in the condo subsequently withered,8,1,"to lose vitality, force, or freshness"
eating,"And scraping together the evidence for this often entails investigating a claimant 's personal life , checking such details as smoking , drinking and eating habits , emotional stability and family health history",24,0,to take food or a meal
examined,"'' We never openly examined the legacy of the Japanese occupation , nor the days of Syngman Rhee or Park Chung Hee",4,1,to inquire into carefully : investigate
eat,Bachelor 's diet : You only eat half of everything you cook -- because the other half sticks to the bottom of the pan,6,0,"to take in through the mouth as food : ingest, chew, and swallow in turn"
evaporate,"But party leaders ' hopes of writing a broadly worded document began to evaporate , as early versions of platform planks were cluttered with specific promises",13,1,to diminish quickly
fill,"And Mr. Karnes , a political unknown selected by GOP Gov. Kay Orr to fill a Senate vacancy created by the death of Edward Zorinsky 18 months ago , is followed by the shadow of his rival wherever he goes",14,0,to place a person in
riding,"The new minicomputer is hot , and the company is riding the first flush of demand for some faster new mainframes and software",10,1,to be contingent : depend
eat,You 'll probably want to eat a crab salad . ',5,0,"to take in through the mouth as food : ingest, chew, and swallow in turn"
step,And no longer will spouses of nursing - home residents be forced into poverty paying for their loved ones ' care before Medicaid will step in,24,1,to move by raising the foot and bringing it down elsewhere or by moving each foot in succession
ate,"A spokesman for Mr. Dingell said , '' The exemptions ate the rule . '",10,1,"to destroy, consume, or waste by or as if by eating"
eating,"'' Most Koreans ' stomachs turn when they think of eating snails , '' Mr. Lee concedes",10,0,"to take in through the mouth as food : ingest, chew, and swallow in turn"
pump,"French and European Community officials met to discuss the French government 's plan to pump 12 billion francs -LRB- $ 1.89 billion -RRB- into state - owned auto maker Regie Nationale des Usines Renault , and said the proposal will require further study",14,1,"to pour forth, deliver, or draw with or as if with a pump"
play,"Not only is this false , Mr. Bilzerian 's suit complains , but the league would n't play by his rules",17,1,to behave or conduct oneself in a specified way
absorb,"With its strength in the Old South , the Rocky Mountain and northern plains states and such dependable GOP bastions as Indiana , the party can absorb some losses and still accumulate close to 200 electoral votes",26,1,"assume , bear"
cooled,"For an auto , Mr. Loehrke envisions the warm end of the pipe heated by the radiator and the condenser end cooled by the outside air",21,0,to make cool : impart a feeling of coolness to
drink,"Seated in the bar of the Member 's Club -- horse - racing prints on the wall , piano tinkling softly , ladies from the Jewish Community Club gathering for luncheon -- Mr. Redmond is astonished to be told that Venezuelans now drink more '' national whiskey '' than 12-year - old scotch",42,0,"swallow , imbibe"
dragged,"GM 's sales were apparently dragged down by a lackluster performance at its Chevrolet division , which saw sales drop 6 %",5,1,to draw or pull slowly or heavily : haul
fly,"Ever since President Reagan in February 1986 called for U.S. development of an '' Orient Express , '' a futuristic aircraft that would fly from New York to Tokyo in two hours , MITI 's aerospace mavens have been itching to get Japan into the action",23,0,to move through the air or before the wind or through outer space
examining,"Federal investigators also are examining whether Peck employees may have emulated any improper trading for their own or the firm 's account , people familiar with the investigation said",4,1,to inquire into carefully : investigate
rolling,"Using another feed formula , Rosemary Farms in Santa Maria , Calif . , has started rolling out an egg that it says has 55 % less cholesterol than normal -LRB- though such claims are controversial -RRB-",16,1,to cause to revolve by turning over and over on or as if on an axis
struck,Sometimes it struck without warning,2,0,to engage in battle
escape,Your Sept. 22 editorial '' The Liberal Plantation '' hangs on a badly flawed premise : that workfare can lead to '' steady work '' and help poor people '' escape welfare and lead independent lives . ',30,1,to get or stay out of the way of : avoid
missed,But he missed the shot,2,0,"to fail to hit, reach, or contact"
sleeping,"Not only did this technique let sleeping elephants lie , as the '' Peaceable Kingdom '' exhibit demonstrates , it resulted in some very striking images",6,1,to rest in a state of sleep
rained,"'' If we return from the International Coffee Organization meetings in London at the end of September and it still has n't rained , then it would be a consideration , '' he said",22,0,to send down rain
rests,"'' In the very short term , a lot rests on the behavior of Japanese purchasers of -LRB- Treasury -RRB- bonds , '' he notes",9,1,to be based or founded
pumping,"Instead of buying assets and pumping up bank reserves last spring , the Fed should have been heeding the run - up in gold and commodities and playing the sell card",5,1,"to pour forth, deliver, or draw with or as if with a pump"
flowing,The economic statistics flowing out of Washington last week were almost too good to be true,3,1,to derive from a source : come
strike,"They were n't surprised that B.A.T wanted to continue its push into financial services , or that the big British company would strike while the U.S. dollar is depressed",22,0,to stop work in order to force an employer to comply with demands
fixed,The consulting firm of Data Resources Inc. expects business fixed investment this year to top the 1987 outlays by 11.1 %,9,1,not subject to change or fluctuation
step,"But Mr. Burns , the former deputy , resigned last week in unison with William Weld , an assistant attorney general , in an effort to force Mr. Meese to step down",30,1,to be on one's way : leave
escape,"At the same time , the quest for distinction increasingly includes details -- some of which may escape the average driver",17,1,to fail to be noticed or recallable by
step,"Another area is management succession , which is looming large at GM . Vice Chairman Donald J. Atwood , who oversees GM 's high - tech subsidiaries , retires next year , and Chairman Smith is scheduled to step down in July 1990",38,1,to be on one's way : leave
miss,MOSCOW APPEARS unwilling to miss a deadline for its pullout from Afghanistan,4,1,"to fail to hit, reach, or contact"
struck,It struck down the comptroller 's conclusion that the Bank Holding Company Act did n't apply,1,1,to attempt to undermine or harm something as if by a blow
step,The Democratic contender will step up attacks on Bush 's proposal to cut capital - gains taxes,4,1,to move by raising the foot and bringing it down elsewhere or by moving each foot in succession
fix,"This approach is just one of several being weighed to fix the small leak on the launch pad and avoid rolling Discovery back to a hangar for repairs , which could delay the planned early September launch by as much as two months",10,0,"repair , mend"
vaporizes,"One look at her pudgy face , shot to make her seem like a powder - brained Kewpie doll , vaporizes whatever credibility Jamie 's anguish might have had",20,1,to cause to become dissipated
cool,"Normal cooling costs are defined as the expected costs to cool a residence in average August weather , which is based on temperature records for the past 30 years",10,0,to make cool : impart a feeling of coolness to
flying,But are airports being used by people who are flying more often -- or by people who simply are taking more connections,9,0,to operate or travel in an airplane or spacecraft
play,"Mr. Axinn continued that the defendants want a '' level playing field '' with the plaintiffs , but the judge interrupted and said , '' they -LRB- the states -RRB- have built the field and you want to play on it . '",38,1,to move or function freely within prescribed limits
escape,The arrangement would break new legal ground as a means for an insurer to escape its own potential liability by piggybacking on the Chapter 11 reorganization of a former policyholder,14,1,to get or stay out of the way of : avoid
stepped,"It also is likely to lead to an escalation in the clash between the church and the state , which has been raging since last month when several churches , including the Roman Catholic Church , stepped up their criticism of apartheid",36,1,to move by raising the foot and bringing it down elsewhere or by moving each foot in succession
flooded,And gang killings -- though still occurring at the rate of several a week -- have declined sharply since the police flooded the streets,21,0,to fill abundantly or excessively
dances,"As the wiry Mr. Rios dances with a plump , middle - age woman , he yells in Spanish , '' I ' m legal now . '",5,0,to move one's body rhythmically usually to music : to engage in or perform a dance (see dance entry 2 sense 2 )
stick,"Mr. Weicker , breakfasting with his third wife , Claudia , at a local diner on Coca - Cola , rice pudding , scrambled eggs and hash browns , says the race is close because Mr. Lieberman has been '' slinging the { expletive deleted } in TV commercials for four months , and some of it started to stick . '",59,1,to keep close in a chase or competition
flowing,'' That would have an impact on aid flowing to El Salvador . ',8,1,to derive from a source : come
rides,"On the side of his dash rides his beloved graph recorder , a combination of a slow moving scroll of paper and a stylus that moves as a vertical blur , etching the solid contours of the lake 's bottom and the inverted arcs of fish",6,1,to become supported on a point or surface
strikes,"They claim that colon cancer , which strikes more than 100 , 000 Americans a year , occurs only in people who inherit a particular gene from their parents that predisposes them to the cancer",7,0,to strike at : hit
melting,"There were kimono - clad waitresses , a couple of hundred men in blue suits , name cards , whiskey , little sushi bars and noodle stands along the walls , chefs with puff hats , piles of shrimp and meat , and an ice sculpture , slowly melting , as a centerpiece",48,0,to reduce from a solid to a liquid state usually by heat
evaporated,Tokyo activity was directionless as the heavy trading of the morning session evaporated in the afternoon,12,1,to diminish quickly
drink,"'' A German , '' said Mr. Bradford , '' is just not going to drink beer out of a can . '",15,0,"swallow , imbibe"
plant,The downturn quickly steamrolled on conjecture that the big rise in soybean futures prices in the past two weeks might motivate some farmers to plant more soybeans,24,0,to put or set in the ground for growth
examines,"For the standard '' pap '' smear , a technician examines the cells on the swab for visual evidence of abnormalities that indicate pre - cancerous changes in the cervix",10,0,to test the condition of
dissolved,"Last week after months of litigation , the company was dissolved , and the trademark was sold for $ 8 million to a Stamford , Conn . , investment firm",10,1,"break up , disperse"
absorb,"Management of three of the five highest yielding general purpose funds , as ranked by the Donoghue Organization , absorb a portion of fund expenses",19,1,"assume , bear"
poured,"For one , the industry has poured a fortune into advertisements designed to promote plastic bags , trashcan liners and other household products that are , as the television commercial goes , hefty , hefty , hefty",6,1,to supply or produce freely or copiously
poured,"When Mr. Corbett poured molasses on Chief 's feed to make it more appealing , the bored hog merely licked off the syrup",3,0,to cause to flow in a stream
filling,"The regional carrier , which has three DC-9 aircraft and uses two of them for charter flights , also said William E. Lindsey , its chairman , was elected to the additional post of chief executive officer , filling a vacancy created by the resignation in February of Thomas Volz",38,0,to place a person in
absorbing,"'' The market is absorbing all of the mill 's output of supercalender paper , '' Mr. Nugent said",4,1,"use up , consume"
absorbed,"'' Vitamins could be passed right out of the body without being absorbed , '' he says",12,0,"to take in (something, such as water) in a natural or gradual way"
stumbled,"Prime Minister Noboru Takeshita has stumbled , but not seriously enough to affect his six - month - old government",5,1,to make an error : blunder
flying,"The locust - control organization said five swarms were seen flying near Asmara , capital of Eritrea , between July 21 and 24",10,0,to move in or pass through the air with wings
dissolved,"The lower court had enjoined the effect of its decision , pending the appeal , but the appeals court dissolved the injunction",19,1,annul
flow,I beg the tribunal to understand that my zeal did not flow from sympathy with the goals or behavior of most of my clients,11,1,to derive from a source : come
fills,"The subject is Oedipus 's death , and perhaps because death is the one thing that still fills us with awe , the excellence of this scene transmits a shiver of the tragedy 's original force",17,1,to make full
plow,"Officials may shut others as they plow through 4 , 000 remaining applications to do business",6,1,"to cut into, open, or make furrows or ridges in with or as if with a plow"
missing,Nearly every scene seems to be missing something,6,1,to discover or feel the absence of
miss,I do n't miss it at all . ',3,0,to discover or feel the absence of
lend,"AMR Corp. 's American Airlines agreed to lend Braniff Inc . , Dallas , as much as $ 21 million , and also purchase certain Braniff assets for as much as $ 23 million , according to documents filed with the Securities and Exchange Commission",7,0,to let out (money) for temporary use on condition of repayment with interest
rest,"Other democracies believe , as Americans have believed until recently , that free institutions rest on consent , not on coercion , and that coercion can not create belief",14,1,to be based or founded
lending,"But few , if any , have guidelines against lending to offshore entities that are South African - controlled or that have a significant South African minority interest",9,0,to make a loan
planted,"Showing off a rose garden he planted with his own hands , Mr. Lance quietly volunteers : '' One of the great things about roses , unlike people from time to time , is that you get back what you put into them . '",6,0,to put or set in the ground for growth
stepped,"But in recent weeks , it has stepped up criticism of the Aquino government and attracted a cross - section of old - time politicians",7,1,to move by raising the foot and bringing it down elsewhere or by moving each foot in succession
strike,"In the letter , Tom Matthews , Eastern 's senior vice president of human resources , asked the mediation board to begin a 30-day countdown after which the machinists union would be free to strike -- and Eastern free to impose unilaterally the cost -- saving contract that it wants",34,0,to stop work in order to force an employer to comply with demands
rest,The spokesman added that the '' final decision does rest with the board of directors . ',9,1,to be based or founded
attacking,The Sandinistas have now offered reasons for attacking and arresting anti - government demonstrators Sunday -LRB- '' Somocista Bands Invade Nandaime '' -RRB- ; for closing Radio Catolica -LRB- '' lack of respect for constitutional order '' -RRB- ; for arresting a Conservative Party leader -LRB- '' the principal instigator '' -RRB-,7,0,to set upon or work against forcefully
targeted,The company has targeted the electroplating industry for several reasons,3,1,to direct or use toward a target
targeting,Carnival seems ahead of the pack in targeting younger customers,7,1,to direct or use toward a target
die,"Mr. Della Femina became a fixture on TV news reports about acquired immune deficiency syndrome , for example , after his agency created the line , '' I enjoy sex , but I ' m not ready to die for it , '' for LifeStyles condoms",38,0,to pass from physical life : expire
lend,Capital is no problem ; banks and insurance companies are eager to lend money to potential buyers,12,0,to let out (money) for temporary use on condition of repayment with interest
flooded,"'' We ' ve tried to set up a barrier against such people , '' says an official at one institute that has been flooded with applications",24,1,to fill abundantly or excessively
rolling,"The brainchild of amateur inventor Craig Culver of Woodside , Calif . , the Isopoint is a sliding and rolling cylinder about the diameter of a cocktail straw that fits along the bottom of the keyboard 's spacebar",19,0,to turn over and over
escape,An owner can escape the sanction only by demonstrating that he neither knew nor had reason to know that any drugs were on the conveyance,3,1,to get or stay out of the way of : avoid
stuck,"Some say that his absolute conviction in his own hunches may ultimately prove his undoing , that he could rapidly get stuck with multimillion - dollar losses if the market moves sharply against him and he refuses to admit that he is wrong",21,1,"to become blocked, wedged, or jammed"
absorbed,Longtime American expatriates here like to recall what happened in the 1970s when Japan easily absorbed the same heavy body blows from the organization of Petroleum Exporting Countries that bring other developed nations to their knees,15,1,"endure , sustain"
drink,"Stealthies like Capt . Marvel , Bill Sweetman , John Andrews and Sam Jones are , nevertheless , a patriotic lot who aim to get as close as possible without breaching national security in pursuit of their passion . -LRB- They are aware that the most fanatic Stealth followers drink their vodka straight . -RRB-/-R",49,0,"swallow , imbibe"
stumbled,"Six years ago , Mr. Slusher stumbled across Harry Fisher while reading about Medal of Honor winners",6,1,to come unexpectedly or by chance
dissolve,"But some physicians questioned the effectiveness of the drug , designed to dissolve gallstones , and how widely it might be used",12,0,to cause to pass into solution (see solution sense 2b )
filled,"Their flagship center in Cambridge 's booming Kendall Square has filled all 44 openings , and 90 children are on the waiting list",10,1,to place a person in
knock,"To cloak their activities , they knock out lights in elevators and stairwells",6,1,"to drive, force, or make by or as if by so striking"
dissolve,Previously reported experiments show that the drugs quickly dissolve the blood clot that initially blocked one of the heart 's vital coronary arteries causing the heart attack,8,0,to cause to pass into solution (see solution sense 2b )
touch,It also promises to touch off a contest to succeed Mr. Sarni among the three group vice presidents,4,1,to have an influence on : affect
flown,"He had heard that on a corner of Nellis Air Force Base nearby , a squadron of Stealth fighters was housed in hangars during the day , out of sight of Soviet satellites , and flown only at night",35,0,to move through the air or before the wind or through outer space
escape,We are not so advanced as a people that we can escape entirely those fears of shortages and deprivation that gripped our ancestors when nature turned ugly,11,1,to get or stay out of the way of : avoid
filling,"In addition to filling a hole in United 's top management , the action marks the first big personnel move by Mr. Wolf , who was named to his posts last month",3,1,to place a person in
fly,"'' If you fly with five connections , you can earn 15 , 000 miles , '' says William Byrnes , a Boston - based free - lance writer who has devised several ways to make so many connections",3,0,to operate or travel in an airplane or spacecraft
pouring,"Joseph M. Kornick , a principal , says the Minute Maid handle is more comfortably rounded '' to fit adults and children '' and has been placed lower '' to lower the center of gravity '' for easier pouring",38,0,the action of pouring : stream
struck,"Rep. Bosco failed to show Feb. 1 for the hearings in Fort Bragg , and in its edition for Feb. 3 the Advertiser struck back",23,0,to attempt to undermine or harm something as if by a blow
play,"Mrs. Bush , who disdains what she calls fake public displays of affection by the Dukakises , also will play an important role in her husband 's campaign",19,1,to amount to by one's efforts
drank,"His father , a bootlegger and dance - hall operator , shot and killed his own brother in self - defense , and later drank himself to death",24,0,to bring to a specified state by drinking alcoholic beverages
attack,"It 's not enough to attack the ACLU simply by reciting its 10 most eccentric opinions , nor is it enough to defend the ACLU by recalling its occasional defense of unpopular groups and viewpoints",5,1,to assail with unfriendly or bitter words
pour,"As manufacturers get bigger , they are likely to pour more money into the battle for shelf space , raising the ante for new players",9,1,to supply or produce freely or copiously
plows,"In retelling the story of Freud 's life and work , Peter Gay plows a furrow already dug deep by many previous Freud biographers and historians of psychoanalysis",13,1,"to make (something, such as a furrow) with a plow"
cool,"The drought is expected to draw down agricultural stockpiles , which could help '' cool '' the third - quarter - GNP report , economists said",14,1,to slow or lessen the growth or activity of
fix,"'' I fix it too many times already , '' he says , adding that he is waiting for a formal treaty",2,1,to set or place definitely : establish
flourished,Stickball -- a street version of baseball that has flourished here since the Depression -- has never been a social climber 's game,9,1,to reach a height of development or influence
missing,"As for the sabotage argument , Mr. Kalelkar said that , on the morning following the disaster , an '' instrument supervisor '' found that a pressure indicator was missing from the methyl isocyanate tank",29,0,"to fail to get, reach, or do something"
step,"'' We ' ve got a party here that 's prepared to withdraw , to step down , '' says Andrej Novak , a Slovene journalist and publisher",15,1,to be on one's way : leave
plant,"Most analysts expect farmers to plant 66.7 million to 70 million acres , up from 65.7 million acres last year",5,0,to plant something
poured,"More than $ 5 million is being poured into this year 's campaign , political insiders estimate , making it a hugely expensive municipal debate",7,1,to supply or produce freely or copiously
riding,"John Matt , a 25-year - old stock - index options trader , started riding his bicycle to work to save money , then could n't afford to replace it when it was stolen",14,0,to travel on
kill,"But the Nazis did n't occupy Hungary , and kill half a million Jews , until 1944",9,0,to deprive of life : cause the death of
stumble,"But expert systems stumble on many problems involving fuzzy data , since they require too many rules covering too many variations",3,1,to trip in walking or running
step,"The date would give two breweries , which now produce beer for export only , time to step up production , the bill said",17,1,to move by raising the foot and bringing it down elsewhere or by moving each foot in succession
absorb,It had been long assumed that the agency would n't act until late on a Friday afternoon in order to give market participants a weekend to absorb the news,26,1,"to take in (knowledge, attitudes, etc.) : acquire , learn"
struck,The labor pact with large trucking firms met a storm of protests from local leaders and the rank and file when it was tentatively struck last month,24,0,to make and ratify the terms of
rained,"When it finally rained , it was a letdown . '",3,0,to send down rain
flourished,"The three pairs of lovers are members of the European planter class ; the mechanicals are Brazilian workmen ; and the fairy folk are practitioners of the voodoolike religion of Macumba , the African - based cult worship that flourished outside the law in Brazil 's jungles",39,1,to reach a height of development or influence
rain,"'' When it does n't rain on my land , it will rain on my brother 's , '' says Antonio Avina",12,0,to send down rain
attacked,"Only American policy in Vietnam has been as maligned , vilified and attacked as U.S. policy toward Iran",12,1,to assail with unfriendly or bitter words
knock,'' It will be very difficult for the Japanese to come in on an assault basis and knock them out of the box . ',17,1,"to drive, force, or make by or as if by so striking"
flowed,"For decades , U.S .- Japan relations have more or less flowed from the last broad agreement most people remember the countries signing -- on the deck of the Battleship Missouri in 1945",11,1,to derive from a source : come
drag,"However , a lawsuit could drag on for years",5,1,to proceed or continue laboriously or tediously
stumbled,Drafters want to clear up areas of confusion : Some filers this year stumbled over standard deductions on the 1040 long form or over the 1040EZ box asking if they could be claimed as anyone else 's dependents,13,1,to cause to stumble : trip
melt,"'' This is the kind of junk we ca n't even melt into other garbage , '' says a major coin wholesaler who asked to remain anonymous because he has sold other coins under the auspices of the Marshall Islands",11,0,to reduce from a solid to a liquid state usually by heat
danced,"'' I was so happy that I practically danced back into the house , '' Mr. Popejoy says",8,0,to move or seem to move up and down or about in a quick or lively manner
evaporate,"One proposal calls for gasoline refiners to reduce the volatility of fuel in summer , thus reducing the fuel 's tendency to evaporate and contribute to ozone pollution",22,0,to pass off in vapor or in minute particles
struck,"A heavy snowstorm struck the South , snarling travel and closing schools as a record cold wave continued in the Midwest and East",3,0,to strike at : hit
evaporated,"The problem is partly due to a thermal vacuum switch in the vapor - control system that is supposed to curb release of evaporated gasoline , the EPA said",23,0,to convert into vapor ; also : to dissipate or draw off in vapor or fumes
touched,Other House members touched by scandal were locked in tight races,3,1,to have an influence on : affect
